
task,event,num,global_time
3,trigger,0,7.589507299941033
3,l_block_start,1,7.599279799964279
3,l_block_end,1,52.58897170005366
3,off_block_start,1,52.58977840002626
3,off_block_end,1,67.58878639992326
3,c_block_start,2,67.5888435000088
3,button,4,69.93906780006364
3,c_block_end,2,112.60593879991211
3,off_block_start,2,112.60735700000077
3,off_block_end,2,127.60553850000724
3,l_block_start,3,127.60577489994466
3,l_block_end,3,172.6060456999112
3,off_block_start,3,172.60690549993888
3,off_block_end,3,187.60541280009784
3,c_block_start,4,187.60545079992153
3,button,4,189.98897060006857
3,c_block_end,4,232.60604300000705
3,off_block_start,4,232.60720199998468
3,off_block_end,4,247.6053861998953
3,l_block_start,5,247.60556560009718
3,l_block_end,5,292.6055431999266
3,off_block_start,5,292.6060148999095
3,off_block_end,5,307.60532220010646
3,c_block_start,6,307.605352899991
3,button,3,315.97242720006034
3,c_block_end,6,352.6058485999238
3,off_block_start,6,352.60734210000373
3,off_block_end,6,367.6065950000193

task,event,num,global_time
2,trigger,0,10.865315099945292
2,block start,1,10.877767099998891
2,block end,1,40.8825619998388
2,block start,2,40.885640599997714
2,button,4,44.81555529986508
2,block end,2,70.90038349991664
2,block start,3,70.90463739982806
2,block end,3,100.91770939994603
2,block start,4,100.92116039991379
2,button,2,103.29907319997437
2,block end,4,130.93351409980096
2,block start,5,130.93764209980145
2,block end,5,160.94753989996389
