
task,block_num,emotion,clip,block_time,global_time
3,1,3,3,2.224257200025022,9.82354009989649
3,1,4,3,4.089280300075188,11.68855719990097
3,1,5,3,6.173104800051078,13.772383800009266
3,1,2,3,8.022811899892986,15.622089799959213
3,1,3,3,10.039670599857345,17.638949499931186
3,1,2,3,11.073647799901664,18.672929800115526
3,1,3,3,12.222508999984711,19.821785799926147
3,1,2,3,12.93950970005244,20.538787299999967
3,2,4,2,2.366757099982351,69.95560030010529
3,3,5,1,3.2501241001300514,130.85589989996515
3,3,2,1,6.04956840001978,133.65534120006487
3,4,4,2,2.3999734001699835,190.00542300008237
3,5,4,4,1.3498453998472542,248.95541030005552
3,6,3,4,8.383558799978346,315.98891189997084

task,block_num,emotion,clip,block_time,global_time
2,1,1,2,1.7553654999937862,12.633140299934894
2,3,3,1,2.0278280000202358,72.93246149993502
2,5,4,4,9.444981400156394,140.38262079982087

task,block_num,emotion,clip,block_time,global_time
2,1,3,4,2.212113899877295,7.3506950999144465
2,3,4,5,3.11250580009073,68.28434159979224
2,5,1,2,5.59975769999437,130.80049529997632
2,7,5,1,2.912083800183609,188.15161349996924
2,9,2,5,2.3622997999191284,247.63505009980872
